MARKETGROUPID;PARENTGROUPID;MARKETGROUPNAME;DESCRIPTION;ICONID;HASTYPES
1193;505;Standard Citadel Torpedoes;Standard citadel torpedo designs.;;1
1194;505;Faction Citadel Torpedoes;Faction citadel torpedo designs.;;1
1195;135;Reinforced Bulkheads;Struts and braces that help improve a starship's structural integrity.;;1
1196;135;Nanofiber Internal Structures;Lightweight materials that provide a boost in speed by weakening a starship's internal structure.;;1
1197;135;Expanded Cargoholds;The extra bulk this expansion adds to a starship reduces its speed, but gives it more room to store cargo.;;1
1198;1710;Scan Probe Launchers;Blueprints of Scan Probe Launchers.;;1
1199;120;Scan Probes;Scan probe designs.;;1
1200;120;Survey Probes;Survey probe designs.;;1
1201;120;Interdiction Probes;Interdiction probe designs.;;1
1202;944;Large Armor Rigs;Blueprints of Large Armor Rigs.;;1
1203;944;Small Armor Rigs;Blueprints of Small Armor Rigs.;;1
1204;944;Medium Armor Rigs;Blueprints of Medium Armor Rigs.;;1
1206;956;Small Armor Rigs;Modifications that affect a small starship's armor.;;1
1207;956;Medium Armor Rigs;Modifications that affect a medium starship's armor.;;1
1208;956;Large Armor Rigs;Modifications that affect a large starship's armor.;;1
1210;957;Small Astronautic Rigs;Modifications that affect a small starship's astronautics.;;1
1211;957;Medium Astronautic Rigs;Modifications that affect a medium starship's astronautics.;;1
1212;957;Large Astronautic Rigs;Modifications that affect a large starship's astronautics.;;1
1213;958;Small Drone Rigs;Modifications that affect a small starship's drones.;;1
1214;958;Medium Drone Rigs;Modifications that affect a medium starship's drones.;;1
1215;958;Large Drone Rigs;Modifications that affect a large starship's drones.;;1
1219;960;Small Electronics Superiority Rigs;Modifications that affect a small starship's electronic warfare capabilities.;;1
1220;960;Medium Electronics Superiority Rigs;Modifications that affect a medium starship's electronic warfare capabilities.;;1
1221;960;Large Electronics Superiority Rigs;Modifications that affect a large starship's electronic warfare capabilities.;;1
1222;961;Small Engineering Rigs;Modifications that affect a small starship's energy grid.;;1
1223;961;Medium Engineering Rigs;Modifications that affect a medium starship's energy grid.;;1
1224;961;Large Engineering Rigs;Modifications that affect a large starship's energy grid.;;1
1225;962;Small Energy Weapon Rigs;Modifications that affect a small starship's energy weapons.;;1
1226;962;Medium Energy Weapon Rigs;Modifications that affect a medium starship's energy weapons.;;1
1227;962;Large Energy Weapon Rigs;Modifications that affect a large starship's energy weapons.;;1
1228;963;Small Hybrid Weapon Rigs;Modifications that affect a small starship's hybrid weapons.;;1
1229;963;Medium Hybrid Weapon Rigs;Modifications that affect a medium starship's hybrid weapons.;;1
1230;963;Large Hybrid Weapon Rigs;Modifications that affect a large starship's hybrid weapons.;;1
1231;964;Small Missile Launcher Rigs;Modifications that affect a small starship's missile launchers.;;1
1232;964;Medium Missile Launcher Rigs;Modifications that affect a medium starship's missile launchers.;;1
1233;964;Large Missile Launcher Rigs;Modifications that affect a large starship's missile launchers.;;1
1234;965;Small Shield Rigs;Modifications that affect a small starship's shields.;;1
1235;965;Medium Shield Rigs;Modifications that affect a medium starship's shields.;;1
1236;965;Large Shield Rigs;Modifications that affect a large starship's shields.;;1
1237;979;Small Projectile Weapon Rigs;Modifications that affect a small starship's projectile weapons.;;1
1238;979;Medium Projectile Weapon Rigs;Modifications that affect a medium starship's projectile weapons.;;1
1239;979;Large Projectile Weapon Rigs;Modifications that affect a large starship's projectile weapons.;;1
1240;945;Small Astronautic Rigs;Blueprints of Small Astronautic Rigs.;;1
1241;945;Medium Astronautic Rigs;Blueprints of Medium Astronautic Rigs.;;1
1242;945;Large Astronautic Rigs;Blueprints of Large Astronautic Rigs.;;1
1243;946;Small Drone Rigs;Blueprints of Small Drone Rigs.;;1
1244;946;Medium Drone Rigs;Blueprints of Medium Drone Rigs.;;1
1245;946;Large Drone Rigs;Blueprints of Large Drone Rigs.;;1
1249;948;Small Electronics Superiority Rigs;Blueprints of Small Electronics Superiority Rigs.;;1
1250;948;Medium Electronics Superiority Rigs;Blueprints of Medium Electronics Superiority Rigs.;;1
1251;948;Large Electronics Superiority Rigs;Blueprints of Large Electronics Superiority Rigs.;;1
1252;949;Small Engineering Rigs;Blueprints of Small Energy Grid Rigs.;;1
1253;949;Medium Engineering Rigs;Blueprints of Medium Energy Grid Rigs.;;1
1254;949;Large Engineering Rigs;Blueprints of Large Energy Grid Rigs.;;1
1255;950;Small Energy Weapon Rigs;Blueprints of Small Energy Weapon Rigs.;;1
1256;950;Medium Energy Weapon Rigs;Blueprints of Medium Energy Weapon Rigs.;;1
1257;950;Large Energy Weapon Rigs;Blueprints of Large Energy Weapon Rigs.;;1
1258;951;Small Hybrid Weapon Rigs;Blueprints of Small Hybrid Weapon Rigs.;;1
1259;951;Medium Hybrid Weapon Rigs;Blueprints of Medium Hybrid Weapon Rigs.;;1
1260;951;Large Hybrid Weapon Rigs;Blueprints of Large Hybrid Weapon Rigs.;;1
1261;952;Small Missile Launcher Rigs;Blueprints of Small Missile Launcher Rigs.;;1
1262;952;Medium Missile Launcher Rigs;Blueprints of Medium Missile Launcher Rigs.;;1
1263;952;Large Missile Launcher Rigs;Blueprints of Large Missile Launcher Rigs.;;1
1264;953;Small Projectile Weapon Rigs;Blueprints of Small Projectile Weapon Rigs.;;1
1265;953;Medium Projectile Weapon Rigs;Blueprints of Medium Projectile Weapon Rigs.;;1
1266;953;Large Projectile Weapon Rigs;Blueprints of Large Projectile Weapon Rigs.;;1
1267;954;Small Shield Rigs;Blueprints of Small Shield Rigs.;;1
1268;954;Medium Shield Rigs;Blueprints of Medium Shield Rigs.;;1
1269;954;Large Shield Rigs;Blueprints of Large Shield Rigs.;;1
1272;477;Sovereignty Structures;Structures designed to facilitate territorial claim, defense, industry.;3952;0
1273;1272;Territorial Claim Units;Starbase units for claiming territory.;;1
1274;1272;Sovereignty Blockade Units;Starbase units for blockading sovereignty.;;1
1275;1272;Infrastructure Hubs;Starbase units for building infrastructure.;;1
1276;1272;Infrastructure Upgrades;Upgrades which are installed into the Infrastructure Hub.;3947;0
1282;1276;Strategic Upgrades;Strategic upgrades to sovereignty structures.;;1
1283;1276;Industrial Upgrades;Industrial upgrades to sovereignty structures.;;1
1284;1276;Military Upgrades;Military upgrades to sovereignty structures.;;1
1285;477;Starbase Structures;Components required to construct a functioning starbase.;2222;0
1286;314;Citadel Cruise Missiles;Blueprints of Citadel Cruise Missiles.;;1
1287;1316;Standard Citadel Cruise Missiles;Standard citadel cruise missile designs.;;1
1310;159;Fighter Bombers;Piloted combat vessels, deployable from Carriers and Supercarriers.;;1
1313;1530;Fighter Bombers;Blueprints of fighter bomber drone designs.;;1
1316;114;Citadel Cruise Missiles;Citadel cruise missile designs.;183;0
1317;1316;Faction Citadel Cruise Missiles;Faction citadel cruise missile designs.;;1
1320;;Planetary Infrastructure;Command Centers are used to build colonies on planets.;2881;0
1322;1320;Command Centers;The core structure of any planetary command.;2875;1
1323;150;Resource Processing;Skills required to extract raw materials and refine them.;;1
1332;533;Planetary Materials;Materials sourced from planets;10073;0
1333;1332;Raw Materials;The first tier of planetary materials.;;1
1334;1332;Processed Materials;The second tier of planetary materials.;;1
1335;1332;Refined Commodities;The third tier of planetary materials.;;1
1336;1332;Specialized Commodities;The fourth tier of planetary materials.;;1
1337;1332;Advanced Commodities;The firth and final tier of planetary materials.;;1
1338;2;Structures;Blueprints of Starbase structures, Sovereignty structures and Deployable structures.;2703;0
1339;1841;Control Towers;Blueprints of Control Towers.;;1
1340;1841;Assembly Arrays;Blueprints of Assembly Arrays.;;1
1341;1841;Corporate Hangar Arrays;Blueprints of Corporate Hangar Arrays.;;1
1342;1841;Cynosural Generator Arrays;Blueprints of Cynosural Generator Arrays.;;1
1343;1841;Cynosural System Jammers;Blueprints of Cynosural System Jammers.;;1
1344;1534;Electronic Warfare Batteries;Blueprints of Electronic Warfare Batteries.;;1
1345;1534;Energy Neutralization Batteries;Blueprints of Energy Neutralization Batteries.;;1
1346;1841;Jump Bridge;Blueprints of Jump Bridge.;;1
1347;1534;Hybrid Batteries;Blueprints of Hybrid Batteries.;;1
1348;1534;Laser Batteries;Blueprints of Laser Batteries.;;1
1349;1534;Missile Batteries;Blueprints of Missile Batteries.;;1
1350;1534;Projectile Batteries;Blueprints of Projectile Batteries.;;1
1351;1841;Reactors;Blueprints of Reactors.;;1
1352;1841;Moon Harvesting Arrays;Blueprints of Moon Harvesting Arrays.;;1
1353;1841;Refining Arrays;Blueprints of Refining Arrays.;;1
1354;1841;Shield Hardening Arrays;Blueprints of Shield Hardening Arrays.;;1
1355;1841;Silos;Blueprints of Silos.;;1
1356;1338;Sovereignty Structures;Blueprints of Sovereignty Structures.;;1
1357;800;Station Components;Blueprints of Station Components.;;1
1358;211;Nanite Repair Paste;Blueprints of Nanite Repair Paste.;;1
1359;1841;Mobile Laboratories;Blueprints of Mobile Laboratories.;;1
1361;4;Frigates;The smallest and fastest of all starships.;1443;0
1362;1361;Faction Frigates;Frigates designed by specific factions.;1443;0
1364;1361;Advanced Frigates;Frigate variants intended for specialized purposes.;1443;0
1365;1362;Pirate Faction;Pirate faction frigate designs.;;1
1366;1362;Navy Faction;Navy faction frigate designs.;;1
1367;4;Cruisers;Medium-sized starships intended for a variety of roles.;1443;0
1368;1367;Advanced Cruisers;Cruiser variants intended for specialized purposes.;1443;0
1369;1367;Faction Cruisers;Cruisers designed by specific factions.;1443;0
1370;1369;Navy Faction;Navy faction cruiser designs.;;1
1371;1369;Pirate Faction;Pirate faction cruiser designs.;;1
1372;4;Destroyers;These heavily armed gunboats are intended to counter frigate tactics.;1443;0
1373;1372;Advanced Destroyers;These destroyers have additional attributes to help them specialize in specific roles.;1443;0
1374;4;Battlecruisers;Halfway between cruisers and battleships, these potent vessels are not to be underestimated.;1443;0
1375;1374;Advanced Battlecruisers;Advanced battlecruisers make use of advanced technology for maximum effectiveness in a certain role.;1443;0
1376;4;Battleships;These massive engines of war could not have a more appropriate name.;1443;0
1377;1376;Advanced Battleships;By focusing the design down to a single purpose, these battleships excel at their designated tasks like no other starship can.;1443;0
1378;1376;Faction Battleships;Battleships designed by specific factions.;1443;0
1379;1378;Navy Faction;Navy faction battleship designs.;;1
1380;1378;Pirate Faction;Pirate faction battleship designs.;;1
1381;4;Capital Ships;Capital ships are the undisputed lords of modern naval warfare.;1443;0
1382;4;Industrial Ships;Without industrial ships and their massive cargo bays, all interstellar trade would grind to a halt.;1443;0
1384;4;Mining Barges;Reducing New Eden's natural beauty to empty husks one asteroid at a time.;1443;0
1385;1382;Advanced Industrial Ships;Advanced industrial ships are specially modified for specific purposes.;1443;0
1389;208;ORE;Blueprints of ORE industrial designs.;;1
1390;8;ORE;ORE industrial designs.;;1
1392;817;Faction Carrier;Faction carrier designs.;;1
1396;;Apparel;Clothing and accessories. ;10256;0
1397;1396;Men's Clothing;Clothing for a masculine physique. ;10829;0
1398;1397;Tops;Clothing worn on the torso.;;1
1399;1397;Outerwear;Clothing worn on the outside of other clothing.;;1
1400;1397;Footwear;Garments worn on the feet, for fashion, protection against the environment, and adornment.;;1
1401;1397;Bottoms;Any of various garments worn below the waist. ;;1
1402;1396;Women's Clothing;Clothing for a feminine physique. ;10830;0
1403;1402;Bottoms;Any of various garments worn below the waist.;;1
1404;1402;Footwear;Garments worn on the feet, for fashion, protection against the environment, and adornment.;;1
1405;1402;Outerwear;Clothing worn on the outside of other clothing.;;1
1406;1402;Tops;Clothing worn on the torso.;;1
1407;1396;Accessories;Apparel items that supplement an outfit by adding style and class. Some accessories can have functionality. ;10828;0
1408;1407;Eyewear;Eyewear is almost exclusively used for vanity purposes given advances in modern cyberware that renders externally mounted hardware obsolete.  ;;1
1410;1320;Orbital Infrastructure;Space structures that are deployed around planets in order to tighten a corporations control of that planet.;;1
1412;1522;Fuel Block Blueprints;Blueprints for Fuel Blocks.;;1
1413;533;Fuel Blocks;Assembled blocks of fuel for starbases and other structures.;;1
1416;14;Reactive Armor Hardener;Armor Hardeners that shift resistance based on damaged received.;;1
1426;657;Target Breaker;Clears all locks on you and all your locks.;;1
1427;19;Aurum Tokens;An Aurum Token is a physical chit that can be redeemed for a predefined amount of AUR currency.;10831;1
1469;531;Armor Implants;Armor Implants;2224;0
1470;531;Electronic Systems Implants;Electronic Systems Implants;2224;0
1471;531;Engineering Implants;Engineering Implants;2224;0
1472;531;Faction Omega Implants;Faction Omega Implants;2224;0
1473;531;Gunnery Implants;Gunnery Implants;2224;0
1474;531;Industry Implants;Industry Implants;2224;0
1475;531;Leadership Implants;Leadership Implants;2224;0
1476;531;Missile Implants;Missile Implants;2224;0
1477;531;Navigation Implants;Navigation Implants;2224;0
1478;531;Science Implants;Science Implants;2224;0
1479;531;Shield Implants;Shield Implants;2224;0
1480;1479;Implant Slot 06;Implant Slot 06;;1
1481;1479;Implant Slot 07;Implant Slot 07;;1
1482;1479;Implant Slot 08;Implant Slot 08;;1
1483;1479;Implant Slot 09;Implant Slot 09;;1
1484;1478;Implant Slot 06;Implant Slot 06;;1
1485;1478;Implant Slot 07;Implant Slot 07;;1
1486;1478;Implant Slot 08;Implant Slot 08;;1
1489;1477;Implant Slot 06;Implant Slot 06;;1
1490;1477;Implant Slot 07;Implant Slot 07;;1
1491;1477;Implant Slot 08;Implant Slot 08;;1
1492;1477;Implant Slot 09;Implant Slot 09;;1
1493;1476;Implant Slot 06;Implant Slot 06;;1
1494;1476;Implant Slot 07;Implant Slot 07;;1
1495;1476;Implant Slot 08;Implant Slot 08;;1
1496;1476;Implant Slot 09;Implant Slot 09;;1
1497;1476;Implant Slot 10;Implant Slot 10;;1
1498;1473;Implant Slot 06;Implant Slot 06;;1
1499;1473;Implant Slot 07;Implant Slot 07;;1
1500;1473;Implant Slot 08;Implant Slot 08;;1
1501;1473;Implant Slot 09;Implant Slot 09;;1
1502;1473;Implant Slot 10;Implant Slot 10;;1
1504;1474;Implant Slot 08;Implant Slot 08;;1
1505;1475;Implant Slot 10;Implant Slot 10;;1
1506;1472;Implant Slot 06;Implant Slot 06;;1
1507;1471;Implant Slot 06;Implant Slot 06;;1
1508;1471;Implant Slot 07;Implant Slot 07;;1
1509;1471;Implant Slot 08;Implant Slot 08;;1
1512;1470;Implant Slot 08;Implant Slot 08;;1
1513;1470;Implant Slot 09;Implant Slot 09;;1
1514;1469;Implant Slot 06;Implant Slot 06;;1
1515;1469;Implant Slot 07;Implant Slot 07;;1
1516;1469;Implant Slot 08;Implant Slot 08;;1
1517;1469;Implant Slot 09;Implant Slot 09;;1
1518;1469;Implant Slot 10;Implant Slot 10;;1
1520;211;Probes;Probes;2703;0
1521;1520;Survey Probes;Survey Probes;;1
1522;1041;Materials;Materials;2703;0
1524;800;Research & Invention;Research & Invention;2703;0
1525;252;Afterburners;Blueprints of afterburners.;;1
1526;314;Cruise Missiles;Cruise Missiles;;1
1527;314;Heavy Missiles;Heavy Missiles;;1
1528;314;Light Missiles;;;1
1529;1520;Interdiction Probes;Interdiction Probes;;1
1530;357;Combat Drones;Combat Drones;2703;0
1531;1530;Light Scout Drones;Blueprints of light scout drone designs.;;1
1532;1530;Medium Scout Drones;Blueprints of medium scout drone designs.;;1
1533;1530;Sentry Drones;Blueprints of sentry drone designs.;;1
1534;1841;Weapon Batteries;Weapon Batteries;2703;0
1535;1841;Ship Maintenance Arrays;Ship Maintenance Arrays;;1
1536;214;Armor Repairers;Blueprints for Armor Repairers;;1
1537;214;Hull Repairers;Blueprints for Hull Repairers;;1
1538;214;Remote Hull Repairers;Blueprints for Remote Hull Repairers;;1
1539;214;Remote Armor Repairers;Blueprints for Remote Armor Repairers;;1
1540;214;Armor Hardeners;Blueprints for Armor Hardeners;;1
1541;214;Armor Plates;Blueprints for Armor Plates;;1
1542;214;Damage Controls;Blueprints for Damage Controls;;1
1543;214;Energized Plating;Blueprints for Energized Plating;;1
1544;214;Resistance Plating;Blueprints for Resistance Plating;;1
1545;209;Shield;Shield;2703;0
1546;209;Engineering Equipment;Engineering Equipment;2703;0
1547;1545;Shield Flux Coils;Shield Flux Coils;;1
1548;1545;Shield Hardeners;Shield Hardeners;;1
1549;1545;Shield Extenders;Shield Extenders;;1
1550;1545;Shield Power Relays;Shield Power Relays;;1
1551;1545;Shield Rechargers;Shield Rechargers;;1
1552;1545;Shield Boosters;Shield Boosters;;1
1553;1545;Remote Shield Boosters;Remote Shield Boosters;;1
1554;1545;Shield Resistance Amplifiers;Shield Resistance Amplifiers;;1
1555;1546;Capacitor Rechargers;Capacitor Rechargers;;1
1556;1546;Capacitor Flux Coils;Capacitor Flux Coils;;1
1557;1546;Capacitor Power Relays;Capacitor Power Relays;;1
1558;1546;Capacitor Batteries;Capacitor Batteries;;1
1559;1546;Auxiliary Power Controls;Auxiliary Power Controls;;1
1560;1546;Power Diagnostic Systems;Power Diagnostic Systems;;1
1561;1546;Reactor Control Units;Reactor Control Units;;1
1562;1546;Remote Capacitor Transmitters;Remote Capacitor Transmitters;;1
1563;1546;Capacitor Boosters;Capacitor Boosters;;1
1564;1546;Energy Vampires;Energy Vampires;;1
1565;1546;Energy Destabilizers;Energy Destabilizers;;1
1566;209;Electronic Warfare;Electronic Warfare;2703;0
1567;1566;Electronic Counter Measures;Electronic Counter Measures;;1
1568;1566;ECM Burst;ECM Burst;;1
1569;1566;Warp Jammers;Warp Jammers;;1
1570;1566;Stasis Webifiers;Stasis Webifiers;;1
1571;1566;Target Painters;Target Painters;;1
1572;1566;Warp Disruption Field Generators;Warp Disruption Field Generators;;1
1574;1566;Tracking Disruptors;Tracking Disruptors;;1
1575;1566;ECCM;ECCM;;1
1576;1566;Remote Sensor Dampeners;Remote Sensor Dampeners;;1
1577;1566;Projected ECCM;Projected ECCM;;1
1578;209;Electronics and Sensor Upgrades;Electronics and Sensor Upgrades;2703;0
1579;1578;Automated Targeting Systems;Automated Targeting Systems;;1
1580;1578;Remote Sensor Boosters;Remote Sensor Boosters;;1
1581;1578;Sensor Boosters;Sensor Boosters;;1
1582;1578;Passive Targeting Systems;Passive Targeting Systems;;1
1583;1566;Sensor Backup Arrays;Sensor Backup Arrays;;1
1584;1578;CPU Upgrades;CPU Upgrades;;1
1585;1578;Signal Amplifiers;Signal Amplifiers;;1
1586;357;Combat Utility Drones;Combat Utility Drones;;1
1587;1097;Amarr;Amarr;;1
1588;1097;Caldari;Caldari;;1
1589;1097;Gallente;Gallente;;1
1590;1097;Minmatar;Minmatar;;1
1591;800;Construction Components;Construction Components;2703;0
1592;1591;Amarr;Amarr;;1
1593;1591;Caldari;Caldari;;1
1594;1591;Gallente;Gallente;;1
1595;1591;Minmatar;Minmatar;;1
1596;1035;Outpost Construction Platforms;Outpost Construction Platforms;;1
1598;99;Orbital Strike;;;1
1599;101;Orbital Strike;;;1
1600;100;Orbital Strike;;;1
1601;300;Orbital Strike;;;1
1602;301;Orbital Strike;;;1
1603;299;Orbital Strike;;;1
1610;1112;Amarr Subsystems;Amarr Subsystems;20959;0
1611;1610;Amarr Electronic Subsystems;Amarr Electronic Subsystems;3626;1
1612;4;Special Edition Ships;Rare and visually distinct ships of interest to collectors.;1443;0
1613;1612;Special Edition Destroyers;Destroyers which have been offered to capsuleers on occasion for limited periods.;;1
1614;1612;Special Edition Industrial Ships;Industrial ships which have been offered to capsuleers on occasion for limited periods.;;1
1616;5;ORE;ORE frigate designs.;;1
1617;205;ORE;Blueprints of ORE frigate designs.;;1
1618;1612;Special Edition Shuttles;Shuttles which have been offered to capsuleers on occasion for limited periods.;;1
1619;1612;Special Edition Frigates;Frigates which have been offered to capsuleers on occasion for limited periods.;;1
1620;1612;Special Edition Battleships;Battleships which have been offered to capsuleers on occasion for limited periods.;;1
1621;1612;Special Edition Heavy Assault Cruisers;Heavy Assault Cruisers which have been offered to capsuleers on occasion for limited periods.;;1
1623;1612;Special Edition Assault Frigates;Assault Frigates which have been offered to capsuleers on occasion for limited periods.;;1
1624;1612;Special Edition Logistics;Logistics Ships which have been offered to capsuleers on occasion for limited periods.;;1
1625;1112;Caldari Subsystems;Caldari Subsystems;20966;0
1626;1112;Minmatar Subsystems;Minmatar Subsystems;20968;0
1627;1112;Gallente Subsystems;Gallente Subsystems;20967;0
1628;1627;Gallente Electronic Subsystems;Gallente Electronic Subsystems;3626;1
1629;1626;Minmatar Electronic Subsystems;Minmatar Electronic Subsystems;3626;1
1630;1625;Caldari Electronic Subsystems;Caldari Electronic Subsystems;3626;1
1631;391;Faction Shuttles;Faction Shuttles;;1
1633;779;Warfare Links;Warfare Links;20970;0
1634;1633;Armored Warfare Links;Armored Warfare Links;;1
1635;1633;Information Warfare Links;Information Warfare Links;;1
1636;1633;Siege Warfare Links;Siege Warfare Links;;1
1637;1633;Skirmish Warfare Links;Skirmish Warfare Links;;1
1638;779;Mining Foreman Links;Mining Foreman Links;;1
1639;779;Command Processors;Command Processors;;1
1640;779;Jump Portal Generators;Jump Portal Generators;;1
1641;779;Cynosural Field Generators;Cynosural Field Generators;;1
1642;779;Clone Vat Bays;Clone Vat Bays;;1
1643;357;Salvage Drones;Blueprints of salvage drone designs.;;1
1646;157;Salvage Drones;Helping you turn trash into treasure.;0;1
1650;52;Micro Jump Drives;Advanced propulsion technology that allows for a jump over a very short distance.;;1
1651;379;Secure Containers;Secure Containers;;1
1652;379;Audit Log Containers;Audit Log Containers;;1
1653;379;Freight Containers;Freight Containers;;1
1657;379;Standard Containers;Standard Containers;;1
1658;379;Station Containers;Station Containers;;1
1659;;Special Edition Assets;Special Edition Assets;;0
1660;1659;Special Edition Tournament Cards;Special Edition Tournament Cards;;0
1661;1659;Special Edition Commodities;Special Edition Commodities;;1
1662;1659;Special Edition Apparel;Special Edition Apparel;;1
1663;1659;Special Edition Festival Assets;Special Edition Festival Assets;;1
1664;1659;Special Edition Blueprints;Special Edition Blueprints;;1
1665;540;Thermal Resistance Plating;Thermal Resistance Plating;1394;1
1666;540;Kinetic Resistance Plating;Kinetic Resistance Plating;1393;1
1667;540;Explosive Resistance Plating;Explosive Resistance Plating;1395;1
1668;540;EM Resistance Plating;EM Resistance Plating;1396;1
1669;14;Layered Plating;Layered Plating;;1
1670;540;Adaptive Resistance Plating;Adaptive Resistance Plating;1030;1
1671;133;50mm Armor Plate;50mm Armor Plate;;1
1672;133;100mm Armor Plate;100mm Armor Plate;;1
1673;133;200mm Armor Plate;200mm Armor Plate;;1
1674;133;400mm Armor Plate;400mm Armor Plate;;1
1675;133;800mm Armor Plate;800mm Armor Plate;;1
1676;133;1600mm Armor Plate;1600mm Armor Plate;;1
1678;535;Thermal Armor Hardeners;Thermal Armor Hardeners;1394;1
1679;535;Kinetic Armor Hardeners;;1393;1
1680;535;Explosive Armor Hardeners;Explosive Armor Hardeners;1395;1
1681;535;EM Armor Hardeners;EM Armor Hardeners;1396;1
1682;541;Energized Explosive Plating;Energized Explosive Plating;1395;1
1683;541;Energized Thermal Plating;Energized Thermal Plating;1394;1
1684;541;Energized EM Plating;Energized EM Plating;1396;1
1685;541;Energized Kinetic Plating;Energized Kinetic Plating;1393;1
1686;541;Energized Adaptive Plating;Energized Adaptive Plating;2066;1
1687;14;Energized Armor Layering;Energized Armor Layering;;1
1688;550;Thermal Resistance Amplifiers;Thermal Resistance Amplifiers;1394;1
1689;550;Kinetic Resistance Amplifiers;Kinetic Resistance Amplifiers;1393;1
1690;550;Explosive Resistance Amplifiers;Explosive Resistance Amplifiers;1395;1
1691;550;EM Resistance Amplifiers;EM Resistance Amplifiers;1396;1
1692;553;Thermal Shield Hardeners;Thermal Shield Hardeners;1394;1
1693;553;Kinetic Shield Hardeners;Kinetic Shield Hardeners;1393;1
1694;553;Explosive Shield Hardeners;Explosive Shield Hardeners;1395;1
1695;553;EM Shield Hardeners;EM Shield Hardeners;1396;1
1696;553;Adaptive Shield Hardeners;Adaptive Shield Hardeners;81;1
1697;252;Micro Jump Drives;Blueprints of Micro Jump Drives.;;1
1698;1612;Special Edition Battlecruisers;Battlecruisers which have been offered to capsuleers on occasion for limited periods.;;1
1699;1612;Special Edition Cruisers;Cruisers which have been offered to capsuleers on occasion for limited periods.;;1
1700;19;Security Tags;Security Tags;2040;1
1701;1841;Personal Hangar Arrays;Blueprints of Personal Hangar Arrays.;;1
1702;1285;Personal Hangar Arrays;A large hangar structure, for easy storage of materials and modules.;;1
1703;1374;Faction Battlecruisers;Battlecruisers designed by specific factions.;1443;0
1704;1703;Navy Faction;Navy faction battlecruiser designs.;;1
1707;1710;Scanning Upgrades;Blueprints of scanning upgrade modules;;1
1708;9;Scanning Equipment;Equipment for scanning;107;0
1709;1708;Scanning Upgrades;Modules that modify scanning;;1
1710;209;Scanning Equipment;Scanning equipment;2703;0
1711;209;Harvest Equipment;Harvesting equipment;2703;0
1712;1711;Salvagers;Blueprints of salvager modules.;;1
1713;9;Harvest Equipment;Harvesting Equipment;1061;0
1715;1713;Salvagers;;;1
1716;1710;Survey Probe Launchers;Blueprints for building probes for surveying moons.;;1
1717;1708;Survey Probe Launchers;Probes for surveying moons.;;1
1718;1708;Analyzers;Modules that analyze old or recent computer systems in exploration sites.;;1
1719;944;Capital Armor Rigs;Blueprints of Capital Armor Rigs.;;1
1720;945;Capital Astronautic Rigs;Blueprints of Capital Astronautic Rigs.;;1
1721;946;Capital Drone Rigs;Blueprints of Capital Drone Rigs.;;1
1723;948;Capital Electronics Superiority Rigs;Blueprints of Capital Electronics Superiority Rigs.;;1
1724;949;Capital Engineering Rigs;Blueprints of Capital Energy Grid Rigs.;;1
1725;950;Capital Energy Weapon Rigs;Blueprints of Capital Energy Weapon Rigs.;;1
1726;951;Capital Hybrid Weapon Rigs;Blueprints of Capital Hybrid Weapon Rigs.;;1
1727;952;Capital Missile Launcher Rigs;Blueprints of Capital Missile Launcher Rigs.;;1
1728;953;Capital Projectile Weapon Rigs;Blueprints of Capital Projectile Weapon Rigs.;;1
1729;954;Capital Shield Rigs;Blueprints of Capital Shield Rigs.;;1
1730;956;Capital Armor Rigs;Modifications that affect a capital starship's armor.;;1
1731;979;Capital Projectile Weapon Rigs;Modifications that affect a capital starship's projectile weapons.;;1
1732;965;Capital Shield Rigs;Modifications that affect a capital starship's shields.;;1
1733;964;Capital Missile Launcher Rigs;Modifications that affect a capital starship's missile launchers.;;1
1734;963;Capital Hybrid Weapon Rigs;Modifications that affect a capital starship's hybrid weapons.;;1
1735;962;Capital Energy Weapon Rigs;Modifications that affect a capital starship's energy weapons.;;1
1736;961;Capital Engineering Rigs;Modifications that affect a capital starship's energy grid.;;1
1737;960;Capital Electronics Superiority Rigs;Modifications that affect a capital starship's electronic warfare capabilities.;;1
1739;958;Capital Drone Rigs;Modifications that affect a capital starship's drones.;;1
1740;957;Capital Astronautic Rigs;Modifications that affect a capital starship's astronautics.;;1
1741;806;Amarr Decryptors;;;1
1742;806;Caldari Decryptors;;;1
1743;806;Gallente Decryptors;;;1
1744;806;Minmatar Decryptors;;;1
1745;150;Armor;How to negate and repair damage on spaceship outer plating.;;1
1746;150;Neural Enhancement;How to handle boosters, clone operation and implants.;;1
1747;150;Shields;How to absorb and deflect damage on a spaceship energy defense systems.;;1
1748;150;Targeting;Skills pertaining to management of a starfaring vessel's sensor systems.;;1
1761;531;Targeting Implants;Targeting Implants;2224;0
1762;531;Resource Processing Implants;Resource Processing Implants;2224;0
1763;531;Scanning Implants;Scanning Implants;2224;0
1764;531;Neural Enhancement Implants;Biology Implants;2224;0
1765;1761;Implant Slot 07;Implant Slot 07;;1
1766;1761;Implant Slot 08;Implant Slot 08;;1
1767;1762;Implant Slot 10;Implant Slot 10;;1
1768;1762;Implant Slot 08;Implant Slot 08;;1
1769;1762;Implant Slot 07;Implant Slot 07;;1
1770;1763;Implant Slot 06;Implant Slot 06;;1
1771;1763;Implant Slot 07;Implant Slot 07;;1
1772;1763;Implant Slot 08;Implant Slot 08;;1
